name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code,network_design_flag,grade,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code,additional_lanes_on_left_side,length_of_left_side_lanes,additional_lanes_on_right_side,length_of_right_side_lanes
South Maple Avenue,5591427,,,,41533524,41533528,,2,0.282454,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9405778,33.3832706,0.0 -111.9405744,33.3830588,0.0 -111.940567,33.3825934,0.0 -111.9405639,33.3823965,0.0 -111.9405589,33.3820775,0.0 -111.9405568,33.3819502,0.0 -111.9405543,33.3817903,0.0 -111.9405543,33.3814498,0.0 -111.9405727,33.3809584,0.0 -111.9406278,33.3807355,0.0</coordinates></LineString>",,,,,,,
"['West Carter Drive', 'South Ash Avenue']","[5594968, 5663708]",,,,41533524,41563605,,2,0.39848100000000003,-1,40.25,,,,,,,,,"<LineString><coordinates>-111.9405778,33.3832706,0.0 -111.9410521,33.3832273,0.0 -111.941404,33.3830983,0.0 -111.94173,33.3829189,0.0 -111.9417522,33.3829067,0.0 -111.9417817,33.3828905,0.0 -111.9418278,33.3828368,0.0 -111.9419262,33.3827221,0.0 -111.942076,33.3825477,0.0 -111.9421078,33.3825106,0.0 -111.9421215,33.3824703,0.0 -111.9422239,33.3821688,0.0 -111.9422543,33.3820793,0.0 -111.9422709,33.3820304,0.0 -111.9422335,33.3816556,0.0 -111.9422194,33.3815144,0.0 -111.9420907,33.3811489,0.0 -111.9420156,33.3809407,0.0 -111.9418761,33.380554,0.0</coordinates></LineString>",,,,,,,
West University Drive,"[436794713, 436794707]",,,,2318614612,42001768,,2,0.073477,5,64.4,,,,,,,,,"<LineString><coordinates>-111.9530106,33.4219181,0.0 -111.9528713,33.421917,0.0 -111.9528222,33.4219166,0.0 -111.9526029,33.4219173,0.0 -111.9523298,33.4219157,0.0 -111.9522189,33.4219154,0.0</coordinates></LineString>",,,,,,,
West University Drive,656408755,,,,2318614612,6149033538,,1,0.056405000000000004,2,64.4,,,,,,,,,"<LineString><coordinates>-111.9530106,33.4219181,0.0 -111.9531592,33.4219586,0.0 -111.953486,33.4219586,0.0 -111.9536016,33.4219197,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591427,,,,41533528,41533524,,2,0.282454,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9406278,33.3807355,0.0 -111.9405727,33.3809584,0.0 -111.9405543,33.3814498,0.0 -111.9405543,33.3817903,0.0 -111.9405568,33.3819502,0.0 -111.9405589,33.3820775,0.0 -111.9405639,33.3823965,0.0 -111.940567,33.3825934,0.0 -111.9405744,33.3830588,0.0 -111.9405778,33.3832706,0.0</coordinates></LineString>",,,,,,,
West Ellis Drive,5675381,,,,41533528,41563605,,2,0.11951500000000001,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9406278,33.3807355,0.0 -111.9408719,33.3807618,0.0 -111.9411551,33.3807475,0.0 -111.9414727,33.3806615,0.0 -111.9418761,33.380554,0.0</coordinates></LineString>",,,,,,,
West Ellis Drive,5675381,,,,41533528,41662641,,2,0.11652,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9406278,33.3807355,0.0 -111.94042,33.3806992,0.0 -111.940355,33.3806828,0.0 -111.9402723,33.3806619,0.0 -111.9399383,33.380631,0.0 -111.9395444,33.3806391,0.0 -111.9393862,33.3806362,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591429,,,,41533533,41533535,,2,0.161589,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412608,33.4219305,0.0 -111.9412601,33.4212132,0.0 -111.9412392,33.4204775,0.0</coordinates></LineString>",,,,,,,
West University Drive,"[436794696, 436794695]",,,,41533533,41563475,,2,0.10479000000000001,5,56.35,,,,,,,,,"<LineString><coordinates>-111.9412608,33.4219305,0.0 -111.9417462,33.4219298,0.0 -111.9422926,33.421929,0.0 -111.9423899,33.4219281,0.0</coordinates></LineString>",,,,,,,
West University Drive,"[436794696, 436794701]",,,,41533533,41662590,,2,0.109581,5,56.35,,,,,,,,,"<LineString><coordinates>-111.9412608,33.4219305,0.0 -111.9407478,33.4219322,0.0 -111.9407009,33.4219324,0.0 -111.9401712,33.4219341,0.0 -111.9400803,33.4219289,0.0</coordinates></LineString>",,,,,,,
