access,bridge,geometry,highway,junction,key,lanes,length,maxspeed,name,oneway,osmid,ref,service,tunnel,u,v,width
,,"LINESTRING (116.3559545 40.0083254, 116.35585 40.0081048, 116.355774 40.0079301, 116.3556687 40.0077957, 116.3555576 40.0076949, 116.355364 40.0075787, 116.3550945 40.0075142, 116.3539709 40.0073158, 116.3532763 40.0070778)",tertiary_link,,0,,286.682,,,True,242789375,,,,610910309,1359330110,
,,"LINESTRING (116.2687643 39.9423437, 116.2691799 39.943727, 116.2693348 39.944767)",tertiary,,0,,274.238,,西四环北路,True,165628854,,,,321421415,1722893168,
,,"LINESTRING (116.2463497 40.0038172, 116.2469172 40.0040042)",tertiary,,0,,52.62,,香山路,False,217166367,,,,2264612966,321555996,
,,"LINESTRING (116.2463497 40.0038172, 116.2458519 40.0036281, 116.2437437 40.0026734, 116.2433759 40.0025068, 116.2412716 40.0015539, 116.2402939 40.0011112, 116.2400205 40.0009827, 116.2397914 40.0008458, 116.239585 40.0007101, 116.2391829 40.0003989, 116.2390065 40.000276, 116.2389158 40.0002248)",tertiary,,0,,751.117,,香山路,False,217166367,,,,2264612966,2346888305,
,,"LINESTRING (116.2463497 40.0038172, 116.2443379 40.0058772, 116.2441655 40.0060533, 116.2431254 40.0069378, 116.2424027 40.0064123, 116.2419467 40.0057421, 116.2414476 40.0055344, 116.2408129 40.0053739, 116.2403261 40.0049586, 116.2390813 40.0043638, 116.2381509 40.0034953, 116.237966 40.0034056)",residential,,0,,1047.713,,遗光寺路,False,217167245,,,,2264612966,5945078575,
,,"LINESTRING (116.2694523 39.9462167, 116.2694424 39.9474736, 116.269518 39.9487114)",tertiary,,0,,277.552,,西四环北路,True,164599647,,,,321421417,321421418,
,,"LINESTRING (116.269518 39.9487114, 116.2693968 39.9497238)",trunk_link,,0,,113.047,,,True,154526700,,,,321421418,35862230,
,,"LINESTRING (116.269518 39.9487114, 116.269655 39.9495434, 116.2697777 39.9506434)",tertiary,,0,,216.00900000000001,,西四环北路,True,164599647,,,,321421418,4747171133,
,,"LINESTRING (116.2701047 39.9527899, 116.2701518 39.95344)",tertiary,,0,,72.399,,西四环北路,True,165628883,,,,321421419,529344816,
,,"LINESTRING (116.2701047 39.9527899, 116.2702867 39.9529029, 116.2705008 39.9529047, 116.2706392 39.9528482, 116.2710597 39.9525397, 116.2710873 39.9525195, 116.2719601 39.9518792)",tertiary_link,,0,,207.424,,,True,152587356,,,,321421419,2391414229,
,,"LINESTRING (116.2480051 40.0039512, 116.2479697 40.0043289)",residential,,0,,42.106,,,False,217167246,,,,2264612967,2264603627,
,,"LINESTRING (116.2480051 40.0039512, 116.2481555 40.0023462, 116.2491311 40.0023806, 116.2490107 40.0040107, 116.2480051 40.0039512)",residential,,0,,529.571,,,False,217167246,,,,2264612967,2264612967,
,,"LINESTRING (116.2480051 40.0039512, 116.2490107 40.0040107, 116.2491311 40.0023806, 116.2481555 40.0023462, 116.2480051 40.0039512)",residential,,1,,529.571,,,False,217167246,,,,2264612967,2264612967,
,,"LINESTRING (116.2563761 39.9722146, 116.2564542 39.9721216)",primary_link,,0,,12.298,,,True,26403972,,,,279855208,1771676982,
,,"LINESTRING (116.2563761 39.9722146, 116.2553754 39.9721892, 116.2551025 39.9721823)",secondary,,0,,108.589,,闵庄路,True,26403971,,,,279855208,1808593231,
,yes,"LINESTRING (116.3189619 40.0190244, 116.3168554 40.0183873, 116.3158967 40.0181345, 116.3151441 40.0179236, 116.3136099 40.017518)",motorway_link,,0,,485.66999999999996,,,True,313488873,,,,2494906473,321477187,
,,"LINESTRING (116.369174 39.9927916, 116.3694004 39.9924935)",primary,,0,,38.35,,G6辅路,True,161453432,S216,,,1733378152,1733378075,
,yes,"LINESTRING (116.369174 39.9927916, 116.3663564 39.9926855, 116.365781 39.9926639, 116.3655015 39.9926566)",tertiary,,0,,313.221,,志新路,True,"[161355938, 161355941, 161355950]",,,,1733378152,1733378099,
,,"LINESTRING (116.2959165 39.9140422, 116.2960092 39.9140605)",residential,,0,,8.164,,,False,403383772,,,,2458140781,2458140782,
,,"LINESTRING (116.2959165 39.9140422, 116.2959814 39.9138609, 116.2960277 39.9136381, 116.2960462 39.9134225, 116.296046 39.9133731)",secondary,,0,,75.51199999999999,,翠微路,True,237954096,,,,2458140781,5258150969,
,,"LINESTRING (116.2960092 39.9140605, 116.2959165 39.9140422)",residential,,0,,8.164,,,False,403383772,,,,2458140782,2458140781,
,,"LINESTRING (116.2960092 39.9140605, 116.2959232 39.9142433, 116.2957687 39.9144554, 116.2955811 39.9146607, 116.2953364 39.9148551, 116.2950578 39.9150159, 116.2917944 39.9165243, 116.2905252 39.917111, 116.2898969 39.917294)",secondary,,0,,644.938,,翠微路,True,237954095,,,,2458140782,2458140798,
,,"LINESTRING (116.2960092 39.9140605, 116.2963607 39.9141193, 116.2967443 39.9141137)",residential,,0,,63.405,,,False,403383772,,,,2458140782,5259217419,
,,"LINESTRING (116.257064 40.0047809, 116.2570434 40.0068697)",residential,,0,,232.271,,,False,217167244,,,,2264612974,2264612980,
,,"LINESTRING (116.257064 40.0047809, 116.2564281 40.0047731, 116.2560822 40.0047688, 116.252275 40.0047218, 116.2517552 40.0047154)",tertiary,,0,,452.23199999999997,,香山路,False,217166816,,,,2264612974,2264603637,
,,"LINESTRING (116.257064 40.0047809, 116.2578961 40.0047912, 116.2581869 40.00478, 116.2584767 40.0047485, 116.2587594 40.0046939, 116.2590168 40.0046253, 116.2608552 40.0040109)",tertiary,,0,,339.499,,香山路,False,217166816,,,,2264612974,2264603622,
,,"LINESTRING (116.2481045 40.0047339, 116.2481363 40.0044376)",residential,,0,,33.058,,,False,217167246,,,,2264612973,2264603629,
,,"LINESTRING (116.3703999 39.9910438, 116.3709039 39.990337)",motorway_link,,0,,89.557,,,True,121399311,,,,610910322,249561097,
,,"LINESTRING (116.3703999 39.9910438, 116.3706575 39.9904935, 116.3708006 39.9901449, 116.3709569 39.9896515, 116.3710121 39.9894365, 116.3710464 39.9891215, 116.371031 39.9887545, 116.37095 39.9884964, 116.3706689 39.9880257, 116.3705475 39.9878582)",primary,,0,,370.81899999999996,,G6辅路,True,242787707,S216,,,610910322,701733969,
,,"LINESTRING (116.2454447 40.0061984, 116.2469172 40.0040042)",residential,,0,,274.332,,,False,217167242,,,,2264612979,321555996,
,,"LINESTRING (116.2570434 40.0068697, 116.257064 40.0047809)",residential,,0,,232.271,,,False,217167244,,,,2264612980,2264612974,
,yes,"LINESTRING (116.3233014 40.017012, 116.3232916 40.0173118, 116.3233473 40.0177394, 116.3233986 40.0180679, 116.3234648 40.0183292, 116.3234995 40.0186317, 116.3234939 40.0188774, 116.3234454 40.0190627, 116.3233684 40.0192362, 116.3232304 40.0194264, 116.3230896 40.0195628, 116.3228724 40.0196966, 116.3226502 40.019788, 116.3223768 40.0198493, 116.322114 40.0198797, 116.3218937 40.0198773, 116.3216322 40.0198383, 116.3212852 40.0197485, 116.3189619 40.0190244)",motorway_link,,0,,671.872,,,True,"[313488873, 241919284]",,,,2494906488,2494906473,
,yes,"LINESTRING (116.3233014 40.017012, 116.3234099 40.017442, 116.3235703 40.0178048, 116.3239098 40.0183967, 116.3245262 40.0192121, 116.3250026 40.0197128, 116.3260132 40.0204032)",motorway_link,,0,,452.153,,,True,"[313488898, 241919285]",,,,2494906488,2355641329,
,yes,"LINESTRING (116.3153589 40.0177441, 116.3190014 40.0185133, 116.3207294 40.0189986, 116.323261 40.0198499, 116.3257562 40.0206536, 116.3265492 40.0209125, 116.3274581 40.0211824, 116.3281996 40.0213651)",motorway,,0,3,1167.202,,北五环,True,"[128686401, 22072334]",S50,,,2494906493,2355641331,
,yes,"LINESTRING (116.3153589 40.0177441, 116.3156697 40.0177532, 116.3184422 40.0182721, 116.319017 40.0183902)",motorway_link,,0,,320.21500000000003,,,True,241919286,,,,2494906493,2494906517,
,,"LINESTRING (116.2898969 39.917294, 116.2896691 39.917315)",secondary,,0,,19.567,,翠微路,True,237954095,,,,2458140798,321231589,
,yes,"LINESTRING (116.2898969 39.917294, 116.2899749 39.9174024, 116.2901985 39.9177956, 116.2902627 39.9179127)",secondary,,0,,75.592,,万寿路,True,"[237963922, 121651139, 121651142]",,,,2458140798,1808755345,
,,"LINESTRING (116.0991486 40.0888571, 116.0992279 40.0887566)",unclassified,,0,,13.053,,,False,523276386,,,,5391715945,5391715948,
,,"LINESTRING (116.0991486 40.0888571, 116.0990763 40.0889488)",unclassified,,0,,11.908,,,False,523276386,,,,5391715945,5391715943,
,,"LINESTRING (116.0991486 40.0888571, 116.1001386 40.0891134)",unclassified,,0,,88.91,,,False,558980743,,,,5391715945,5391715946,
,,"LINESTRING (116.0992279 40.0887566, 116.0992997 40.0886657)",unclassified,,0,,11.81,,,False,523276386,,,,5391715948,5391715950,
,,"LINESTRING (116.0992279 40.0887566, 116.0991486 40.0888571)",unclassified,,0,,13.053,,,False,523276386,,,,5391715948,5391715945,
,,"LINESTRING (116.0992279 40.0887566, 116.1001858 40.0890132)",unclassified,,0,,86.339,,,False,558980744,,,,5391715948,5391715947,
,,"LINESTRING (116.2521058 40.0488754, 116.2555283 40.0491546)",tertiary,,0,,292.97,,德政路,False,177052500,,,,1875160023,1875160033,
,,"LINESTRING (116.2521058 40.0488754, 116.2518268 40.0489, 116.251628 40.0489837)",tertiary,,0,,43.217,,,True,188062272,,,,1875160023,1875160017,
,,"LINESTRING (116.2014413 39.9718049, 116.2015647 39.971805)",secondary,,0,,10.516,70,闵庄路,True,174799527,,,,2264711314,2264711316,
,,"LINESTRING (116.2014413 39.9718049, 116.2014482 39.971738)",tertiary,,0,,7.462,,香山南路,True,237950553,,,,2264711314,2442671611,
,,"LINESTRING (116.2015647 39.971805, 116.2052685 39.97181)",secondary,,0,,315.622,70,闵庄路,True,174799527,,,,2264711316,2264711319,
,,"LINESTRING (116.2015647 39.971805, 116.2015561 39.9718792)",tertiary,,0,,8.283,,香山南路,True,237946884,,,,2264711316,2264711342,
,yes,"LINESTRING (116.319017 40.0183902, 116.3198441 40.018538, 116.3201911 40.0185541, 116.3204917 40.0185144, 116.3207847 40.0184056, 116.3210577 40.0182684, 116.3212495 40.0181074, 116.3214517 40.0178883, 116.3216273 40.0175274, 116.3219956 40.0166114, 116.3223105 40.0160338, 116.322612 40.0156369, 116.3231082 40.0151577, 116.3237563 40.0146458, 116.3245549 40.0140347, 116.3254657 40.0133713)",motorway_link,,0,,858.0450000000001,,,True,"[241919293, 313488894]",,,,2494906517,3194818929,
,yes,"LINESTRING (116.319017 40.0183902, 116.3218196 40.0192262, 116.3222266 40.0193271, 116.3225321 40.0193446, 116.3228517 40.0192946, 116.322975 40.0192252, 116.3231609 40.0191031, 116.3232716 40.0189214, 116.3232874 40.0187215, 116.3232084 40.0185217, 116.3230818 40.018346, 116.3228604 40.0182128, 116.3227089 40.0181778, 116.3224459 40.0181702, 116.3221724 40.018237, 116.3218461 40.0184043, 116.3214526 40.0187621)",motorway_link,,0,,640.1640000000001,,,True,"[313488861, 313488834, 313488893, 313488879]",,,,2494906517,2494906516,
,yes,"LINESTRING (116.3214526 40.0187621, 116.3210056 40.0194883, 116.3205451 40.0202134, 116.319021 40.0226928)",motorway,,0,,483.647,,京新高速,True,"[241919289, 241919290, 241919287]",G7,,,2494906516,2417303456,
,,"LINESTRING (116.2052685 39.97181, 116.2052633 39.9717428)",unclassified,,0,,7.485,,,False,169704834,,,,2264711319,2442671613,
,,"LINESTRING (116.2052685 39.97181, 116.2109077 39.9718176, 116.2121061 39.9718192)",secondary,,0,,582.67,70,闵庄路,True,174799527,,,,2264711319,2264711321,
,,"LINESTRING (116.3411601 39.9686612, 116.3411558 39.9688847)",residential,,0,,24.855,,,False,106620137,,,,4895408280,4895448831,
,,"LINESTRING (116.3411601 39.9686612, 116.3411613 39.9684347, 116.3411626 39.968194)",residential,,0,,51.951,,,False,106620137,,,,4895408280,1226548279,
,,"LINESTRING (116.3411601 39.9686612, 116.3416361 39.9686651, 116.341767 39.9686661, 116.3422178 39.9686698)",residential,,0,,90.142,,,False,498060872,,,,4895408280,4895408377,
,,"LINESTRING (116.0918653 40.0819122, 116.0924166 40.0820153, 116.0941869 40.0820153, 116.0953402 40.0819709, 116.0960591 40.0820284, 116.0974109 40.0822336, 116.0992294 40.082516, 116.0999697 40.0827048, 116.101461 40.0829182, 116.1021919 40.0829605)",residential,,0,,891.581,,,False,119607467,,,,1960558740,2587332170,
,,"LINESTRING (116.0918653 40.0819122, 116.091038 40.0817575, 116.0901367 40.0817165, 116.0890746 40.0815441, 116.0875565 40.0812518, 116.0871053 40.0811766, 116.0848957 40.0808085, 116.084665 40.0808135, 116.084032 40.0810269, 116.0836029 40.0810597, 116.0823691 40.0810926, 116.081618 40.080953, 116.0812425 40.0810187, 116.0798144 40.0813324, 116.0797185 40.0812566)",residential,,0,,1063.397,,,False,119607467,,,,1960558740,1959740016,
,,"LINESTRING (116.0918653 40.0819122, 116.0917678 40.0821103, 116.0916117 40.0823069, 116.0914781 40.0825371, 116.0913762 40.0828696)",unclassified,,0,,115.09900000000002,,,False,185458847,,,,1960558740,1960558665,
,,"LINESTRING (116.2121061 39.9718192, 116.2121198 39.9718921)",tertiary,,0,,8.19,,,False,50635150,,,,2264711321,2264711349,
,,"LINESTRING (116.2121061 39.9718192, 116.2120934 39.9717514)",tertiary,,0,,7.616,,,False,50635150,,,,2264711321,2442671614,
,,"LINESTRING (116.2121061 39.9718192, 116.2171812 39.971826, 116.21803 39.9718271, 116.221697 39.9718321)",secondary,,0,,817.2950000000001,70,闵庄路,True,174799527,,,,2264711321,2264711328,
