name,node_id,zone_id,micro_node_set,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,41553003,,,,,,-111.9607621,33.3928427,"<Point><coordinates>-111.9607621,33.3928427</coordinates></Point>"
,41553006,,,,,,-111.9635829,33.3928325,"<Point><coordinates>-111.9635829,33.3928325</coordinates></Point>"
,42011761,,,,,,-111.9569643,33.4139725,"<Point><coordinates>-111.9569643,33.4139725</coordinates></Point>"
,255757427,,,,,,-111.8910108,33.395669,"<Point><coordinates>-111.8910108,33.395669</coordinates></Point>"
,316066932,,,,,,-111.9602128,33.3259487,"<Point><coordinates>-111.9602128,33.3259487</coordinates></Point>"
,41913461,,,,,,-111.930751,33.4555349,"<Point><coordinates>-111.930751,33.4555349</coordinates></Point>"
,41553020,,,,,,-111.9722305,33.3927813,"<Point><coordinates>-111.9722305,33.3927813</coordinates></Point>"
,41553022,,,,,,-111.9755319,33.3927613,"<Point><coordinates>-111.9755319,33.3927613</coordinates></Point>"
,41634942,,,,,,-111.9398663,33.3418789,"<Point><coordinates>-111.9398663,33.3418789</coordinates></Point>"
,42404992,,,,,,-111.9026862,33.3879741,"<Point><coordinates>-111.9026862,33.3879741</coordinates></Point>"
,42404993,,,,,,-111.9015361,33.3876874,"<Point><coordinates>-111.9015361,33.3876874</coordinates></Point>"
,41553026,,,,,,-111.9783342,33.3927585,"<Point><coordinates>-111.9783342,33.3927585</coordinates></Point>"
,42404994,,,,,,-111.8951074,33.3876588,"<Point><coordinates>-111.8951074,33.3876588</coordinates></Point>"
,42208386,,,,,,-111.9188635,33.3621021,"<Point><coordinates>-111.9188635,33.3621021</coordinates></Point>"
,42208388,,,,,,-111.9189665,33.3612633,"<Point><coordinates>-111.9189665,33.3612633</coordinates></Point>"
,41634950,,,,,,-111.9457498,33.3418938,"<Point><coordinates>-111.9457498,33.3418938</coordinates></Point>"
,41864328,,,,,,-111.9269802,33.404774,"<Point><coordinates>-111.9269802,33.404774</coordinates></Point>"
,42208393,,,,,,-111.9189236,33.3605034,"<Point><coordinates>-111.9189236,33.3605034</coordinates></Point>"
,42405002,,,,,,-111.8833119,33.3885545,"<Point><coordinates>-111.8833119,33.3885545</coordinates></Point>"
,2488372362,,,,,,-111.9263525,33.4353727,"<Point><coordinates>-111.9263525,33.4353727</coordinates></Point>"
,2625358988,,,,,,-111.9381696,33.4149865,"<Point><coordinates>-111.9381696,33.4149865</coordinates></Point>"
,2488372365,,,,,,-111.926352,33.4358591,"<Point><coordinates>-111.926352,33.4358591</coordinates></Point>"
,2488372366,,,,,,-111.9263516,33.4363573,"<Point><coordinates>-111.9263516,33.4363573</coordinates></Point>"
,42323086,,,,,,-111.9645858,33.3580421,"<Point><coordinates>-111.9645858,33.3580421</coordinates></Point>"
,2488372369,,,,,,-111.9096018,33.4365162,"<Point><coordinates>-111.9096018,33.4365162</coordinates></Point>"
,2625358994,,,,,,-111.9394923,33.4160741,"<Point><coordinates>-111.9394923,33.4160741</coordinates></Point>"
,2488372371,,,,,,-111.9263509,33.4370909,"<Point><coordinates>-111.9263509,33.4370909</coordinates></Point>"
,2488372372,,,,,,-111.9263537,33.4375533,"<Point><coordinates>-111.9263537,33.4375533</coordinates></Point>"
,2488372373,,,,,,-111.9262906,33.4381089,"<Point><coordinates>-111.9262906,33.4381089</coordinates></Point>"
,42405014,,,,,,-111.9116299,33.3873589,"<Point><coordinates>-111.9116299,33.3873589</coordinates></Point>"
